Timestamp,Thrust_0Deg (Kg),Thrust_90Deg (Kg),Thrust_180Deg (Kg),Thrust_270Deg (Kg),Total Weight (Kg),Total Thrust (N),RPM48,Torque (Nm)160,Motor Temp (°C)73,Current (A)32,Vdc (V)235,Vout(V)138,IGBT Temp(°C)74,RPM Command49,Battery_Volt(V)546,Battery_Bus_Volt(V)546,Battery_Power(W)546,Accel_X (g),Accel_Y (g),Accel_Z (g)
2025-06-26 15:01:25.262,0.0,0.0,0.0,0.0,-4.05,-39.69,0.0,0.0,23.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.018,0.033,-1.014
2025-06-26 15:01:25.313,0.0,0.0,0.0,0.0,-4.05,-39.69,0.0,0.0,23.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.029,-1.034
2025-06-26 15:01:25.363,0.0,0.0,0.0,0.0,-4.05,-39.69,0.0,0.0,23.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.019,0.02,-1.044
2025-06-26 15:01:25.414,0.0,0.0,0.0,0.0,-4.05,-39.69,0.0,0.0,23.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023,0.061,-0.985
2025-06-26 15:01:25.466,0.0,0.0,0.0,0.0,-4.05,-39.69,0.0,0.0,23.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.029,0.051,-1.033
2025-06-26 15:01:25.517,0.0,0.0,0.0,0.0,-4.05,-39.69,0.0,0.0,23.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.003,-1.021
2025-06-26 15:01:25.567,0.0,0.0,0.0,0.0,-4.05,-39.69,0.0,0.0,23.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.035,0.035,-0.962
2025-06-26 15:01:25.619,0.0,0.0,0.0,0.0,-4.05,-39.69,0.0,0.0,23.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011,0.007,-0.964
2025-06-26 15:01:25.674,0.0,0.0,0.0,0.0,-4.05,-39.69,0.0,0.0,23.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.021,-0.96
2025-06-26 15:01:25.725,0.0,0.0,0.0,0.0,-4.05,-39.69,0.0,0.0,23.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025,-0.003,-0.997
2025-06-26 15:01:25.776,0.0,0.0,0.0,0.0,-4.05,-39.69,0.0,0.0,23.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.014,0.005,-1.017
2025-06-26 15:01:25.826,0.0,0.0,0.0,0.0,-4.05,-39.69,0.0,0.0,23.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.021,-0.992
2025-06-26 15:01:25.877,-5.44,4.63,0.0,3.44,-1.42,-13.916,0.0,0.0,23.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.052,-0.002,-1.018
2025-06-26 15:01:25.927,-5.44,4.63,0.0,3.44,-1.42,-13.916,0.0,0.0,23.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.074,0.003,-1.008
2025-06-26 15:01:25.978,-5.44,4.63,0.0,3.44,-1.42,-13.916,0.0,0.0,23.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.055,-1.005
2025-06-26 15:01:26.029,-5.44,4.63,0.0,3.44,-1.42,-13.916,0.0,0.0,23.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.005,-1.036
2025-06-26 15:01:26.079,-5.44,4.63,0.0,3.44,-1.42,-13.916,0.0,0.0,23.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.079,0.053,-1.007
2025-06-26 15:01:26.130,-5.44,4.63,0.0,3.44,-1.42,-13.916,0.0,0.0,23.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015,0.041,-1.028
2025-06-26 15:01:26.180,-5.44,4.63,0.0,3.44,-1.42,-13.916,0.0,0.0,23.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024,-0.029,-1.03
2025-06-26 15:01:26.231,-5.44,4.63,-2.45,3.44,-3.87,-37.926,0.0,0.0,23.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007,0.048,-0.962
2025-06-26 15:01:26.282,-5.44,4.63,-2.45,3.44,-3.87,-37.926,0.0,0.0,23.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006,0.019,-1.01
2025-06-26 15:01:26.332,-5.44,4.63,-2.45,3.44,-3.87,-37.926,0.0,0.0,23.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021,-0.047,-1.052
2025-06-26 15:01:26.384,-5.44,4.63,-2.45,3.44,-3.87,-37.926,0.0,0.0,23.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023,-0.032,-1.042
2025-06-26 15:01:26.435,-5.44,4.63,-2.45,3.44,-3.87,-37.926,0.0,0.0,23.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.003,-1.034
2025-06-26 15:01:26.486,-5.44,4.63,-2.45,3.44,-3.87,-37.926,0.0,0.0,23.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.022,0.033,-1.026
2025-06-26 15:01:26.536,-5.44,4.63,-2.45,3.44,-3.87,-37.926,0.0,0.0,23.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.095,-0.976
2025-06-26 15:01:26.587,-5.44,4.63,-2.45,3.44,-3.87,-37.926,0.0,0.0,23.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.028,-0.034,-1.065
2025-06-26 15:01:26.642,-5.44,4.63,-2.45,3.44,-3.87,-37.926,0.0,0.0,23.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006,0.014,-1.022
