Timestamp,X (g),Y (g),Z (g)
2025-06-25T16:37:48.344842,-0.016601,0.026366,-1.013632
2025-06-25T16:37:48.349681,-0.004883,-0.00293,-1.00582
2025-06-25T16:37:48.354490,0.027343,0.003906,-1.018514
2025-06-25T16:37:48.359301,-0.015624,0.07031,-1.032186
2025-06-25T16:37:48.364110,-0.074216,0.003906,-0.996054
2025-06-25T16:37:48.368919,-0.041991,0.005859,-1.00582
2025-06-25T16:37:48.373776,-0.008789,0.049803,-1.009726
2025-06-25T16:37:48.378740,-0.032225,0.045897,-1.011679
2025-06-25T16:37:48.383671,0.014648,0.016601,-1.030233
2025-06-25T16:37:48.388840,-0.011718,0.031249,-0.998984
2025-06-25T16:37:48.396015,0.004883,0.005859,-0.98336
2025-06-25T16:37:48.400898,0.031249,0.00293,-0.966759
2025-06-25T16:37:48.405813,-0.00293,0.086911,-0.994101
2025-06-25T16:37:48.410654,-0.051756,0.032225,-0.973594
2025-06-25T16:37:48.415463,-0.045897,0.056638,-0.986289
2025-06-25T16:37:48.421275,-0.010742,0.073239,-0.972618
2025-06-25T16:37:48.426211,-0.015624,0.054685,-1.024374
2025-06-25T16:37:48.432079,0.032225,0.049803,-1.057575
2025-06-25T16:37:48.437075,0.018554,0.057615,-1.038045
2025-06-25T16:37:48.443532,0.000977,0.023437,-1.022421
2025-06-25T16:37:48.448538,-0.014648,0.026366,-1.032186
2025-06-25T16:37:48.453396,-0.042967,0.039061,-0.986289
2025-06-25T16:37:48.458222,-0.028319,0.012695,-1.006796
2025-06-25T16:37:48.463360,-0.018554,0.02246,-1.00289
2025-06-25T16:37:48.468504,0.005859,-0.001953,-1.031209
2025-06-25T16:37:48.473551,-0.008789,-0.042967,-0.970665
2025-06-25T16:37:48.478573,-0.037108,-0.062498,-1.019491
2025-06-25T16:37:48.483619,-0.028319,0.046873,-0.969688
2025-06-25T16:37:48.488564,0.001953,0.030272,-1.012655
2025-06-25T16:37:48.493545,0.02539,0.021484,-1.042928
2025-06-25T16:37:48.498543,0.040037,0.003906,-1.040975
2025-06-25T16:37:48.503526,0.017577,0.046873,-1.018514
2025-06-25T16:37:48.508585,-0.052732,-0.024413,-1.030233
2025-06-25T16:37:48.513520,-0.015624,0.003906,-1.022421
2025-06-25T16:37:48.518498,-0.045897,0.041014,-0.975547
2025-06-25T16:37:48.523447,-0.005859,0.028319,-1.00582
2025-06-25T16:37:48.528698,0.000977,-0.021484,-1.044881
2025-06-25T16:37:48.533771,0.02246,-0.005859,-0.974571
2025-06-25T16:37:48.538839,-0.010742,0.04492,-0.998984
2025-06-25T16:37:48.543786,-0.041014,0.007812,-1.034139
2025-06-25T16:37:48.548721,-0.050779,-0.004883,-1.008749
2025-06-25T16:37:48.553683,-0.058591,-0.000977,-0.95797
2025-06-25T16:37:48.559294,-0.059568,-0.004883,-0.959923
2025-06-25T16:37:48.564324,-0.030272,-0.005859,-1.007773
2025-06-25T16:37:48.569633,0.041991,0.042967,-0.997031
2025-06-25T16:37:48.574700,0.012695,0.058591,-0.949181
2025-06-25T16:37:48.579919,0.008789,0.055662,-0.991172
2025-06-25T16:37:48.584812,-0.000977,0.032225,-0.987266
2025-06-25T16:37:48.589644,-0.040037,-0.024413,-1.010702
2025-06-25T16:37:48.594501,-0.041991,-0.052732,-1.026327
2025-06-25T16:37:48.599348,-0.014648,-0.049803,-0.996054
2025-06-25T16:37:48.607163,0.055662,0.013671,-1.014608
2025-06-25T16:37:48.612088,0.014648,0.024413,-1.020468
2025-06-25T16:37:48.616963,-0.013671,0.027343,-1.00582
2025-06-25T16:37:48.621945,-0.043944,0.060544,-1.000937
2025-06-25T16:37:48.626783,-0.01953,0.035155,-1.000937
2025-06-25T16:37:48.631583,0.0,0.016601,-0.962853
2025-06-25T16:37:48.636406,0.014648,-0.011718,-1.016561
2025-06-25T16:37:48.643098,-0.033202,-0.027343,-1.007773
2025-06-25T16:37:48.648033,-0.01953,0.033202,-0.999961
2025-06-25T16:37:48.653952,-0.005859,0.013671,-1.006796
2025-06-25T16:37:48.658818,-0.063474,0.039061,-0.956017
2025-06-25T16:37:48.663649,0.043944,0.065427,-0.990195
2025-06-25T16:37:48.672038,0.036131,0.04785,-1.031209
2025-06-25T16:37:48.676908,-0.020507,0.033202,-1.013632
2025-06-25T16:37:48.681751,-0.053709,0.013671,-0.994101
2025-06-25T16:37:48.686726,0.031249,0.062498,-1.020468
2025-06-25T16:37:48.691670,0.006836,0.031249,-0.934533
2025-06-25T16:37:48.696642,0.064451,0.064451,-0.988242
2025-06-25T16:37:48.701670,-0.005859,0.04492,-1.058552
2025-06-25T16:37:48.706800,0.030272,0.037108,-1.000937
2025-06-25T16:37:48.711891,0.042967,0.001953,-1.059528
2025-06-25T16:37:48.716891,-0.008789,-0.015624,-1.071247
2025-06-25T16:37:48.721886,-0.018554,0.016601,-0.990195
2025-06-25T16:37:48.726899,-0.015624,-0.013671,-1.019491
2025-06-25T16:37:48.732273,-0.001953,-0.038084,-0.966759
2025-06-25T16:37:48.737651,-0.027343,0.020507,-1.010702
2025-06-25T16:37:48.742617,0.003906,0.024413,-0.996054
2025-06-25T16:37:48.747793,-0.026366,0.042967,-1.013632
2025-06-25T16:37:48.753355,-0.020507,0.006836,-1.008749
2025-06-25T16:37:48.758302,-0.052732,-0.063474,-0.997031
2025-06-25T16:37:48.763206,-0.063474,-0.039061,-1.021444
2025-06-25T16:37:48.771610,-0.043944,-0.001953,-1.05074
2025-06-25T16:37:48.776657,-0.008789,0.029296,-1.011679
2025-06-25T16:37:48.781589,-0.001953,0.055662,-1.017538
2025-06-25T16:37:48.786489,-0.012695,0.016601,-1.011679
2025-06-25T16:37:48.791308,-0.003906,0.016601,-1.026327
2025-06-25T16:37:48.796111,0.012695,0.038084,-1.018514
2025-06-25T16:37:48.800907,-0.045897,0.012695,-0.989219
2025-06-25T16:37:48.805724,-0.07031,-0.004883,-0.974571
2025-06-25T16:37:48.810622,-0.02539,0.037108,-0.961876
2025-06-25T16:37:48.815685,-0.01953,0.064451,-0.994101
2025-06-25T16:37:48.820639,0.000977,0.032225,-1.045857
2025-06-25T16:37:48.825452,-0.017577,0.052732,-1.008749
2025-06-25T16:37:48.830256,-0.026366,0.01953,-1.040975
2025-06-25T16:37:48.835076,-0.063474,-0.028319,-1.000937
2025-06-25T16:37:48.840083,0.016601,0.040037,-1.039998
2025-06-25T16:37:48.845019,-0.014648,0.018554,-0.986289
2025-06-25T16:37:48.849833,0.043944,0.042967,-0.994101
2025-06-25T16:37:48.854645,-0.057615,0.003906,-0.933557
2025-06-25T16:37:48.859449,-0.037108,0.034178,-1.011679
2025-06-25T16:37:48.864260,-0.018554,0.026366,-1.031209
2025-06-25T16:37:48.869152,-0.007812,0.008789,-1.034139
2025-06-25T16:37:48.874086,-0.020507,0.003906,-0.989219
2025-06-25T16:37:48.878943,-0.050779,0.040037,-0.946252
2025-06-25T16:37:48.883752,-0.052732,0.059568,-0.925745
2025-06-25T16:37:48.888648,-0.00293,-0.005859,-1.006796
2025-06-25T16:37:48.893549,0.008789,0.02246,-1.029256
2025-06-25T16:37:48.898510,-0.000977,0.078122,-1.02828
2025-06-25T16:37:48.903482,-0.014648,-0.007812,-1.021444
2025-06-25T16:37:48.908469,-0.056638,0.005859,-0.985313
2025-06-25T16:37:48.913361,0.007812,0.042967,-1.013632
2025-06-25T16:37:48.918248,-0.02539,0.056638,-1.017538
2025-06-25T16:37:48.923598,-0.020507,0.041014,-1.018514
2025-06-25T16:37:48.929052,-0.02246,0.000977,-0.990195
2025-06-25T16:37:48.934175,-0.018554,0.023437,-1.056599
2025-06-25T16:37:48.939255,-0.030272,0.01953,-1.021444
2025-06-25T16:37:48.945566,-0.017577,0.021484,-0.989219
2025-06-25T16:37:48.950693,0.039061,0.0,-1.046834
2025-06-25T16:37:48.955740,0.007812,-0.041014,-1.027303
2025-06-25T16:37:48.960716,0.013671,-0.011718,-0.929651
2025-06-25T16:37:48.965658,0.034178,0.068357,-1.008749
2025-06-25T16:37:48.970583,0.013671,0.057615,-0.984336
2025-06-25T16:37:48.975534,0.036131,0.032225,-0.961876
2025-06-25T16:37:48.980476,0.011718,-0.039061,-1.012655
2025-06-25T16:37:48.988999,-0.020507,0.012695,-1.003867
2025-06-25T16:37:48.993890,-0.033202,-0.012695,-1.029256
2025-06-25T16:37:48.998773,-0.024413,0.011718,-1.021444
2025-06-25T16:37:49.003626,-0.034178,0.032225,-0.996054
2025-06-25T16:37:49.008456,-0.012695,0.029296,-1.006796
2025-06-25T16:37:49.013233,-0.018554,0.027343,-0.998984
2025-06-25T16:37:49.018064,-0.040037,-0.012695,-1.007773
2025-06-25T16:37:49.023603,-0.04492,0.003906,-0.993125
2025-06-25T16:37:49.029131,-0.018554,0.028319,-1.010702
2025-06-25T16:37:49.034015,-0.026366,0.008789,-1.015585
2025-06-25T16:37:49.038825,0.018554,-0.023437,-0.998007
2025-06-25T16:37:49.043636,0.041014,-0.04492,-1.040975
2025-06-25T16:37:49.048440,-0.038084,0.017577,-0.98043
2025-06-25T16:37:49.053237,-0.079098,-0.001953,-1.021444
2025-06-25T16:37:49.058073,-0.041014,0.014648,-1.023397
2025-06-25T16:37:49.063153,-0.021484,0.01953,-1.010702
2025-06-25T16:37:49.068190,-0.021484,0.032225,-1.013632
2025-06-25T16:37:49.073093,-0.037108,0.02539,-0.998984
2025-06-25T16:37:49.078320,-0.034178,-0.008789,-1.017538
2025-06-25T16:37:49.083132,-0.023437,-0.004883,-1.016561
2025-06-25T16:37:49.088011,-0.015624,0.059568,-0.9775
2025-06-25T16:37:49.092961,0.017577,0.046873,-0.990195
2025-06-25T16:37:49.097862,-0.008789,0.064451,-0.990195
2025-06-25T16:37:49.102724,-0.004883,-0.005859,-1.035115
2025-06-25T16:37:49.107599,-0.008789,-0.038084,-1.058552
2025-06-25T16:37:49.112514,-0.034178,-0.031249,-1.109331
2025-06-25T16:37:49.117419,0.030272,0.029296,-1.0732
2025-06-25T16:37:49.122557,0.007812,0.071286,-0.998007
2025-06-25T16:37:49.127616,-0.014648,0.049803,-1.023397
2025-06-25T16:37:49.132643,-0.028319,0.024413,-1.02828
2025-06-25T16:37:49.137554,-0.045897,0.010742,-0.998984
2025-06-25T16:37:49.142451,-0.01953,0.049803,-1.021444
2025-06-25T16:37:49.147345,-0.001953,0.02246,-1.024374
2025-06-25T16:37:49.152283,0.014648,-0.02246,-1.046834
2025-06-25T16:37:49.157422,-0.041014,-0.030272,-0.999961
2025-06-25T16:37:49.162504,-0.036131,0.018554,-0.995078
2025-06-25T16:37:49.167479,0.0,0.074216,-0.941369
2025-06-25T16:37:49.172374,-0.040037,0.001953,-0.95797
2025-06-25T16:37:49.177265,0.038084,0.043944,-0.995078
2025-06-25T16:37:49.182160,0.016601,0.000977,-0.978477
2025-06-25T16:37:49.187098,-0.036131,0.055662,-0.968712
2025-06-25T16:37:49.192828,0.009765,0.08984,-0.998007
2025-06-25T16:37:49.197641,0.033202,0.023437,-1.023397
2025-06-25T16:37:49.202439,0.033202,0.039061,-1.009726
2025-06-25T16:37:49.207238,-0.010742,0.074216,-0.966759
2025-06-25T16:37:49.212041,-0.04785,0.030272,-0.972618
2025-06-25T16:37:49.216880,-0.010742,0.003906,-1.029256
2025-06-25T16:37:49.221708,-0.046873,0.006836,-1.020468
2025-06-25T16:37:49.226577,-0.028319,0.032225,-1.013632
2025-06-25T16:37:49.231444,-0.039061,0.013671,-1.019491
2025-06-25T16:37:49.236251,0.001953,0.001953,-1.004843
2025-06-25T16:37:49.241042,-0.015624,0.001953,-1.010702
2025-06-25T16:37:49.245874,-0.035155,-0.009765,-1.030233
2025-06-25T16:37:49.250718,-0.039061,0.003906,-0.987266
2025-06-25T16:37:49.255665,-0.032225,-0.051756,-1.011679
2025-06-25T16:37:49.260680,-0.007812,0.065427,-1.022421
2025-06-25T16:37:49.265531,-0.066404,0.009765,-0.991172
2025-06-25T16:37:49.270331,-0.006836,-0.001953,-1.027303
2025-06-25T16:37:49.275184,0.026366,0.060544,-1.032186
2025-06-25T16:37:49.280039,0.004883,-0.009765,-0.9609
2025-06-25T16:37:49.284934,-0.02246,0.003906,-1.032186
2025-06-25T16:37:49.289937,0.028319,0.000977,-1.045857
2025-06-25T16:37:49.294902,-0.026366,0.005859,-1.038045
2025-06-25T16:37:49.299754,-0.024413,-0.026366,-1.004843
2025-06-25T16:37:49.304733,0.005859,0.012695,-1.034139
2025-06-25T16:37:49.309576,-0.00293,0.042967,-1.02535
2025-06-25T16:37:49.314415,-0.014648,0.009765,-1.018514
2025-06-25T16:37:49.319244,-0.049803,0.028319,-1.023397
2025-06-25T16:37:49.324232,-0.021484,0.02539,-1.027303
2025-06-25T16:37:49.329145,-0.027343,0.013671,-1.049763
2025-06-25T16:37:49.334015,0.02246,-0.011718,-1.009726
2025-06-25T16:37:49.338877,0.023437,0.005859,-0.993125
2025-06-25T16:37:49.343769,0.005859,0.016601,-1.02828
2025-06-25T16:37:49.348733,-0.015624,0.02246,-0.940393
2025-06-25T16:37:49.353785,-0.048826,0.007812,-0.945275
2025-06-25T16:37:49.358685,-0.052732,-0.003906,-1.02535
2025-06-25T16:37:49.363512,-0.030272,0.033202,-1.000937
2025-06-25T16:37:49.368397,-0.020507,0.011718,-0.986289
2025-06-25T16:37:49.373240,-0.02539,0.027343,-1.010702
2025-06-25T16:37:49.378186,-0.018554,-0.01953,-1.052693
2025-06-25T16:37:49.383256,-0.046873,-0.060544,-1.029256
2025-06-25T16:37:49.388126,-0.004883,0.00293,-1.09273
2025-06-25T16:37:49.392983,0.023437,0.060544,-1.055622
2025-06-25T16:37:49.398334,0.042967,0.014648,-1.015585
2025-06-25T16:37:49.403266,-0.031249,-0.04785,-0.998007
2025-06-25T16:37:49.408230,-0.030272,-0.02246,-0.987266
2025-06-25T16:37:49.413144,-0.01953,0.015624,-1.052693
2025-06-25T16:37:49.418106,-0.057615,-0.033202,-1.008749
2025-06-25T16:37:49.423009,-0.050779,0.021484,-1.014608
2025-06-25T16:37:49.428394,-0.007812,-0.003906,-1.017538
2025-06-25T16:37:49.433324,-0.035155,0.096676,-0.948205
2025-06-25T16:37:49.438241,-0.011718,0.027343,-1.009726
2025-06-25T16:37:49.443199,0.033202,-0.015624,-1.021444
2025-06-25T16:37:49.448236,0.006836,0.013671,-0.979454
2025-06-25T16:37:49.453211,0.012695,0.016601,-1.052693
2025-06-25T16:37:49.458207,0.012695,-0.006836,-1.02535
2025-06-25T16:37:49.463192,-0.041014,-0.02246,-1.011679
2025-06-25T16:37:49.468121,-0.050779,-0.035155,-1.006796
2025-06-25T16:37:49.473081,-0.028319,0.015624,-1.030233
2025-06-25T16:37:49.478010,-0.014648,0.034178,-0.997031
2025-06-25T16:37:49.483091,-0.010742,0.033202,-1.02535
2025-06-25T16:37:49.488145,-0.033202,0.034178,-1.014608
2025-06-25T16:37:49.493438,-0.007812,0.012695,-1.024374
2025-06-25T16:37:49.498433,-0.011718,0.041991,-1.00582
2025-06-25T16:37:49.503266,-0.056638,0.001953,-1.014608
2025-06-25T16:37:49.508114,-0.043944,0.04785,-1.004843
2025-06-25T16:37:49.513225,-0.015624,0.020507,-1.008749
2025-06-25T16:37:49.518541,-0.011718,0.014648,-1.015585
2025-06-25T16:37:49.523480,-0.010742,-0.005859,-0.962853
2025-06-25T16:37:49.528382,-0.018554,0.016601,-1.013632
2025-06-25T16:37:49.533220,-0.020507,0.015624,-1.015585
2025-06-25T16:37:49.538103,-0.039061,0.028319,-1.024374
2025-06-25T16:37:49.543238,-0.009765,0.02246,-1.038045
2025-06-25T16:37:49.548211,-0.009765,0.034178,-1.008749
2025-06-25T16:37:49.553597,-0.036131,-0.01953,-1.045857
2025-06-25T16:37:49.558449,0.001953,0.003906,-1.038045
2025-06-25T16:37:49.563293,-0.014648,0.033202,-1.027303
2025-06-25T16:37:49.568112,-0.029296,0.013671,-1.018514
2025-06-25T16:37:49.572949,-0.014648,0.028319,-1.02828
2025-06-25T16:37:49.577766,-0.00293,0.048826,-1.031209
2025-06-25T16:37:49.582728,-0.04492,0.056638,-0.95797
2025-06-25T16:37:49.587567,-0.038084,0.034178,-1.018514
2025-06-25T16:37:49.592411,-0.053709,-0.00293,-1.018514
