11:34:44.698
Timestamp,Thrust_0Deg (Kg),Thrust_90Deg (Kg),Thrust_180Deg (Kg),Thrust_270Deg (Kg),Total Weight (Kg),Total Thrust (N),RPM48,Torque (Nm)160,Motor Temp (°C)73,Current (A)32,Vdc (V)235,Vout(V)138,IGBT Temp(°C)74,RPM Command49,Battery_Volt(V)546,Battery_Bus_Volt(V)546,Battery_Power(W)546,Accel_Location,Accel_X,Accel_Y,Accel_Z
2025-07-21 11:34:47.715,-24.8,0.68,0.29,0.0,-27.88,-273.224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RPi2,0.007,-0.111,-0.991
2025-07-21 11:34:47.766,-24.8,0.68,0.28,0.0,-27.89,-273.322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RPi2,-0.107,-0.044,-0.994
2025-07-21 11:34:47.816,-24.8,0.68,0.28,0.0,-27.89,-273.322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RPi2,-0.099,-0.044,-1.006
2025-07-21 11:34:47.867,-24.8,0.68,0.28,0.0,-27.89,-273.322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RPi2,-0.04,0.049,-1.033
2025-07-21 11:34:47.918,-24.81,0.68,0.28,0.0,-27.9,-273.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RPi2,-0.052,-0.031,-1.028
2025-07-21 11:34:47.968,-24.81,0.68,0.28,0.0,-27.9,-273.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RPi2,-0.058,-0.01,-0.991
2025-07-21 11:34:48.019,-24.81,0.68,0.28,0.0,-27.9,-273.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RPi2,-0.026,-0.026,-1.023
2025-07-21 11:34:48.069,-24.81,0.68,0.28,0.0,-27.9,-273.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RPi2,-0.077,-0.066,-1.016
2025-07-21 11:34:48.119,-24.81,0.67,0.28,0.0,-27.91,-273.518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RPi2,-0.106,-0.071,-1.072
2025-07-21 11:34:48.170,-24.81,0.67,0.28,0.0,-27.91,-273.518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RPi2,-0.032,0.028,-0.972
