Timestamp,Thrust_0Deg (Kg),Thrust_90Deg (Kg),Thrust_180Deg (Kg),Thrust_270Deg (Kg),Total Weight (Kg),Total Thrust (N),RPM48,Torque (Nm)160,Motor Temp (°C)73,Current (A)32,Vdc (V)235,Vout(V)138,IGBT Temp(°C)74,RPM Command49,Battery_Volt(V)546,Battery_Bus_Volt(V)546,Battery_Power(W)546,Accel_Timestamp,Accel_Location,Accel_X,Accel_Y,Accel_Z
2025-07-17 16:57:41.826,0.0,0.0,0.0,0.0,-4.05,-39.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACCEL,16:57:42.773,motor_mount,0.057,0.041,-0.999
ACCEL,16:57:42.785,motor_mount,-0.076,0.075,-0.901
ACCEL,16:57:42.792,motor_mount,-0.059,0.012,-0.977
ACCEL,16:57:42.799,motor_mount,0.001,0.021,-1.027
ACCEL,16:57:42.806,motor_mount,-0.054,-0.001,-1.034
ACCEL,16:57:42.813,motor_mount,-0.014,0.007,-1.015
ACCEL,16:57:42.820,motor_mount,-0.039,-0.018,-1.041
ACCEL,16:57:42.828,motor_mount,-0.057,0.015,-0.980
ACCEL,16:57:42.835,motor_mount,-0.005,-0.027,-0.978
ACCEL,16:57:42.842,motor_mount,-0.052,0.014,-1.010
ACCEL,16:57:42.849,motor_mount,-0.031,0.022,-1.045
ACCEL,16:57:42.857,motor_mount,-0.080,0.026,-0.988
ACCEL,16:57:42.864,motor_mount,-0.067,0.029,-1.019
ACCEL,16:57:42.872,motor_mount,-0.062,0.013,-0.998
ACCEL,16:57:42.879,motor_mount,-0.036,0.022,-0.953
ACCEL,16:57:42.889,motor_mount,-0.087,0.021,-1.052
ACCEL,16:57:42.896,motor_mount,-0.038,0.031,-1.056
ACCEL,16:57:42.903,motor_mount,-0.055,-0.006,-1.026
ACCEL,16:57:42.910,motor_mount,-0.061,-0.011,-1.077
ACCEL,16:57:42.919,motor_mount,-0.134,0.068,-1.019
ACCEL,16:57:42.927,motor_mount,0.010,0.032,-1.029
ACCEL,16:57:42.936,motor_mount,-0.042,-0.036,-1.089
ACCEL,16:57:42.943,motor_mount,-0.046,0.004,-1.015
ACCEL,16:57:42.950,motor_mount,-0.015,0.012,-0.897
ACCEL,16:57:42.960,motor_mount,-0.009,-0.039,-0.933
ACCEL,16:57:42.967,motor_mount,-0.025,-0.023,-0.978
ACCEL,16:57:42.974,motor_mount,-0.095,-0.028,-0.990
ACCEL,16:57:42.981,motor_mount,-0.055,-0.031,-0.964
ACCEL,16:57:42.988,motor_mount,-0.087,0.004,-0.996
ACCEL,16:57:43.001,motor_mount,-0.061,0.027,-1.004
ACCEL,16:57:43.010,motor_mount,-0.130,-0.119,-1.115
ACCEL,16:57:43.017,motor_mount,-0.076,-0.062,-1.050
ACCEL,16:57:43.024,motor_mount,-0.127,-0.106,-1.027
ACCEL,16:57:43.031,motor_mount,-0.068,0.001,-0.946
ACCEL,16:57:43.038,motor_mount,-0.100,0.027,-0.917
ACCEL,16:57:43.047,motor_mount,-0.100,0.028,-0.978
ACCEL,16:57:43.054,motor_mount,-0.076,0.028,-0.975
ACCEL,16:57:43.061,motor_mount,0.014,0.002,-0.984
ACCEL,16:57:43.068,motor_mount,-0.019,0.060,-1.071
ACCEL,16:57:43.077,motor_mount,-0.036,0.046,-1.023
ACCEL,16:57:43.084,motor_mount,-0.075,0.030,-1.016
ACCEL,16:57:43.091,motor_mount,-0.123,-0.043,-1.056
ACCEL,16:57:43.098,motor_mount,-0.041,0.071,-1.001
ACCEL,16:57:43.109,motor_mount,-0.056,0.031,-1.004
ACCEL,16:57:43.116,motor_mount,-0.110,-0.040,-1.012
ACCEL,16:57:43.123,motor_mount,-0.118,-0.028,-0.976
ACCEL,16:57:43.130,motor_mount,-0.070,-0.002,-0.985
ACCEL,16:57:43.137,motor_mount,0.014,0.043,-0.922
ACCEL,16:57:43.145,motor_mount,-0.061,0.054,-0.948
