Timestamp,LC0,LC1,LC2,LC3
2025-07-17T14:52:29.844371,0.0,0.0,0.0,0.0
2025-07-17T14:52:29.894596,0.0,0.0,0.0,0.0
2025-07-17T14:52:29.944780,0.0,0.0,0.0,0.0
2025-07-17T14:52:29.995220,0.0,0.0,0.0,0.0
2025-07-17T14:52:30.045472,0.0,0.0,0.0,0.0
2025-07-17T14:52:30.095689,0.0,0.0,0.0,0.0
2025-07-17T14:52:30.145926,0.0,0.0,0.0,0.0
2025-07-17T14:52:30.196177,0.0,0.0,0.0,0.0
2025-07-17T14:52:30.246390,0.0,0.0,0.0,0.0
2025-07-17T14:52:30.296600,0.0,0.0,0.0,0.0
2025-07-17T14:52:30.346806,0.0,0.0,0.0,0.0
2025-07-17T14:52:30.397022,0.0,0.0,0.0,0.0
2025-07-17T14:52:30.447232,0.0,0.0,0.0,0.0
2025-07-17T14:52:30.497437,0.0,0.0,0.0,0.0
2025-07-17T14:52:30.547633,0.0,0.0,0.0,0.0
2025-07-17T14:52:30.597850,0.0,0.0,0.0,0.0
2025-07-17T14:52:30.648087,0.0,0.0,0.0,0.0
2025-07-17T14:52:30.698340,0.0,0.0,0.0,0.0
2025-07-17T14:52:30.748580,0.0,0.0,0.0,0.0
2025-07-17T14:52:30.798792,0.0,0.0,0.0,0.0
2025-07-17T14:52:30.849013,0.0,0.0,0.0,0.0
2025-07-17T14:52:30.899251,0.0,0.0,0.0,0.0
2025-07-17T14:52:30.949488,0.0,0.0,0.0,0.0
2025-07-17T14:52:30.999732,0.0,0.0,0.0,0.0
2025-07-17T14:52:31.049960,0.0,0.0,0.0,0.0
2025-07-17T14:52:31.100193,0.0,0.0,0.0,0.0
2025-07-17T14:52:31.150400,0.0,0.0,0.0,0.0
2025-07-17T14:52:31.200636,0.0,0.0,0.0,0.0
2025-07-17T14:52:31.250863,0.0,0.0,0.0,0.0
2025-07-17T14:52:31.301104,0.0,0.0,0.0,0.0
2025-07-17T14:52:31.351346,0.0,0.0,0.0,0.0
2025-07-17T14:52:31.401595,0.0,0.0,0.0,0.0
2025-07-17T14:52:31.451845,0.0,0.0,0.0,0.0
2025-07-17T14:52:31.502098,0.0,0.0,0.0,0.0
2025-07-17T14:52:31.552344,0.0,0.0,0.0,0.0
2025-07-17T14:52:31.602591,0.0,0.0,0.0,0.0
2025-07-17T14:52:31.652832,0.0,0.0,0.0,0.0
2025-07-17T14:52:31.703058,0.0,0.0,0.0,0.0
