Timestamp,Thrust_0Deg (Kg),Thrust_90Deg (Kg),Thrust_180Deg (Kg),Thrust_270Deg (Kg),Total Weight (Kg),Total Force (N),RPM48,Torque (Nm)160,Motor Temp (°C)73,Current (A)32,Vdc (V)235,Vout(V)138,IGBT Temp(°C)74,RPM Command49,Battery_Volt(V)546,Battery_Bus_Volt(V)546,Battery_Power(W)546
2025-08-19 16:53:10.787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,567.16,0.0,19,0.0,0.0,0.0,0.0
2025-08-19 16:53:10.843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,567.19,0.0,19,0.0,0.0,0.0,0.0
2025-08-19 16:53:10.893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,-0.14,567.22,0.0,19,0.0,0.0,0.0,0.0
2025-08-19 16:53:10.944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,25.0,-0.14,567.22,0.0,19,0.0,0.0,0.0,0.0
2025-08-19 16:53:10.995,0.0,0.0,-0.89,0.0,0.89,8.722,0.0,0.24,25.0,-0.14,567.16,0.0,19,0.0,0.0,0.0,0.0
2025-08-19 16:53:11.046,0.0,0.0,-0.89,2.22,1.33,13.034,0.0,0.0,25.0,-0.14,567.16,0.0,19,0.0,0.0,0.0,0.0
2025-08-19 16:53:11.097,0.0,0.0,-0.89,2.22,1.33,13.034,0.0,0.0,25.0,0.0,567.16,0.0,19,0.0,0.0,0.0,0.0
2025-08-19 16:53:11.147,0.0,0.0,-0.89,2.22,1.33,13.034,0.0,0.0,25.0,0.0,567.16,0.0,19,0.0,0.0,0.0,0.0
2025-08-19 16:53:11.198,0.0,0.0,-0.89,2.22,1.33,13.034,0.0,0.0,25.0,0.0,567.16,0.0,19,0.0,0.0,0.0,0.0
2025-08-19 16:53:11.248,0.0,0.0,-0.89,2.22,1.33,13.034,0.0,0.0,25.0,0.0,567.16,0.0,19,0.0,0.0,0.0,0.0
2025-08-19 16:53:11.299,0.0,0.0,-0.89,2.22,1.33,13.034,0.0,0.0,25.0,-0.14,567.16,0.0,19,0.0,0.0,0.0,0.0
2025-08-19 16:53:11.350,0.0,0.0,-0.89,2.22,1.33,13.034,0.0,0.0,25.0,-0.14,567.25,0.0,19,0.0,0.0,0.0,0.0
2025-08-19 16:53:11.401,0.0,0.0,-0.89,2.22,1.33,13.034,0.0,0.12,25.0,-0.14,567.22,0.0,19,0.0,0.0,0.0,0.0
2025-08-19 16:53:11.452,-1.1,0.0,-0.89,2.22,0.23,2.254,0.0,0.0,25.0,0.14,567.22,0.0,19,0.0,0.0,0.0,0.0
2025-08-19 16:53:11.502,-1.1,0.29,-0.89,2.22,0.52,5.096,0.0,0.0,25.0,-0.14,567.16,0.0,19,0.0,0.0,0.0,0.0
2025-08-19 16:53:11.557,-1.1,0.29,-0.89,2.22,0.52,5.096,0.0,0.0,25.0,-0.14,567.12,0.0,19,0.0,0.0,0.0,0.0
2025-08-19 16:53:11.608,-1.1,0.29,-0.89,2.22,0.52,5.096,0.0,0.0,25.0,0.14,567.06,0.0,19,0.0,0.0,0.0,0.0
2025-08-19 16:53:11.658,-1.1,0.29,-0.88,2.22,0.53,5.194,0.0,0.0,24.9,-0.14,567.06,0.0,19,0.0,0.0,0.0,0.0
2025-08-19 16:53:11.709,-1.1,0.29,-0.88,2.22,0.53,5.194,0.0,0.0,24.9,0.14,567.06,0.0,19,0.0,0.0,0.0,0.0
2025-08-19 16:53:11.760,-1.1,0.29,-0.88,2.18,0.49,4.802,0.0,0.24,24.9,0.0,567.0,0.0,19,0.0,0.0,0.0,0.0
2025-08-19 16:53:11.810,-1.1,0.29,-0.88,2.18,0.49,4.802,0.0,0.0,24.9,-0.14,567.12,0.0,19,0.0,0.0,0.0,0.0
2025-08-19 16:53:11.860,-1.1,0.29,-0.88,2.18,0.49,4.802,0.0,0.24,24.9,-0.14,567.16,0.0,19,0.0,0.0,0.0,0.0
2025-08-19 16:53:11.911,-1.1,0.29,-0.88,2.18,0.49,4.802,0.0,0.0,24.9,0.14,567.22,0.0,19,0.0,0.0,0.0,0.0
2025-08-19 16:53:11.962,-1.1,0.29,-0.88,2.18,0.49,4.802,0.0,0.0,24.8,0.14,567.22,0.0,19,0.0,0.0,0.0,0.0
2025-08-19 16:53:12.013,-1.1,0.29,-0.88,2.18,0.49,4.802,0.0,0.0,24.8,0.14,567.19,0.0,19,0.0,0.0,0.0,0.0
2025-08-19 16:53:12.064,-1.1,0.29,-0.88,2.18,0.49,4.802,0.0,0.0,24.8,0.14,567.16,0.0,19,0.0,0.0,0.0,0.0
2025-08-19 16:53:12.114,-1.1,0.29,-0.88,2.18,0.49,4.802,0.0,0.0,24.8,-0.14,567.12,0.0,19,0.0,0.0,0.0,0.0
2025-08-19 16:53:12.170,-1.1,0.27,-0.88,2.18,0.47,4.606,0.0,0.0,24.8,0.0,567.09,0.0,18,0.0,0.0,0.0,0.0
2025-08-19 16:53:12.221,-1.1,0.27,-0.88,2.18,0.47,4.606,0.0,0.0,24.8,0.0,567.0,0.0,18,0.0,0.0,0.0,0.0
2025-08-19 16:53:12.272,-1.1,0.27,-0.88,2.18,0.47,4.606,0.0,0.0,24.8,-0.14,567.03,0.0,18,0.0,0.0,0.0,0.0
2025-08-19 16:53:12.322,-1.1,0.27,-0.89,2.18,0.46,4.508,0.0,0.0,24.8,-0.14,567.03,0.0,19,0.0,0.0,0.0,0.0
2025-08-19 16:53:12.372,-1.1,0.27,-0.89,2.18,0.46,4.508,0.0,0.0,24.9,-0.14,567.19,0.0,19,0.0,0.0,0.0,0.0
2025-08-19 16:53:12.423,-1.1,0.27,-0.89,2.14,0.42,4.116,0.0,0.12,24.9,-0.14,567.16,0.0,19,0.0,0.0,0.0,0.0
2025-08-19 16:53:12.474,-1.1,0.27,-0.89,2.14,0.42,4.116,0.0,0.0,24.9,0.0,567.22,0.0,18,0.0,0.0,0.0,0.0
2025-08-19 16:53:12.524,-1.1,0.27,-0.89,2.14,0.42,4.116,0.0,0.0,24.9,0.14,567.25,0.0,18,0.0,0.0,0.0,0.0
2025-08-19 16:53:12.575,-1.1,0.27,-0.89,2.14,0.42,4.116,0.0,0.0,24.9,0.14,567.22,0.0,18,0.0,0.0,0.0,0.0
2025-08-19 16:53:12.626,-1.09,0.27,-0.89,2.14,0.43,4.214,0.0,0.0,24.9,-0.14,567.25,0.0,19,0.0,0.0,0.0,0.0
2025-08-19 16:53:12.676,-1.09,0.27,-0.89,2.14,0.43,4.214,0.0,0.0,24.9,0.0,567.25,0.0,18,0.0,0.0,0.0,0.0
2025-08-19 16:53:12.726,-1.09,0.27,-0.89,2.14,0.43,4.214,0.0,0.0,24.9,0.14,567.19,0.0,18,0.0,0.0,0.0,0.0
2025-08-19 16:53:12.777,-1.09,0.27,-0.89,2.14,0.43,4.214,0.0,0.0,24.9,0.14,567.06,0.0,18,0.0,0.0,0.0,0.0
