Timestamp,X (g),Y (g),Z (g)
2025-06-26T13:03:18.242745,0.284168,0.204094,-1.053669
2025-06-26T13:03:18.251881,0.028319,0.054685,-1.026327
2025-06-26T13:03:18.258921,-0.004883,0.003906,-0.997031
2025-06-26T13:03:18.265826,-0.038084,0.007812,-1.008749
2025-06-26T13:03:18.272679,-0.030272,0.017577,-1.039021
2025-06-26T13:03:18.279524,-0.030272,0.010742,-1.022421
2025-06-26T13:03:18.286372,-0.020507,0.045897,-1.011679
2025-06-26T13:03:18.293204,-0.032225,0.053709,-0.967735
2025-06-26T13:03:18.300014,-0.02246,0.007812,-0.999961
2025-06-26T13:03:18.306814,-0.030272,0.001953,-1.006796
2025-06-26T13:03:18.313625,-0.013671,0.011718,-1.000937
2025-06-26T13:03:18.320432,-0.045897,0.00293,-0.981407
2025-06-26T13:03:18.327239,-0.013671,0.032225,-1.008749
2025-06-26T13:03:18.334095,-0.008789,0.039061,-0.998984
2025-06-26T13:03:18.340976,-0.018554,0.037108,-1.016561
2025-06-26T13:03:18.348422,-0.028319,0.028319,-1.010702
2025-06-26T13:03:18.356076,-0.042967,0.02246,-1.001914
2025-06-26T13:03:18.363374,-0.02539,-0.001953,-1.012655
2025-06-26T13:03:18.370787,-0.011718,0.014648,-0.986289
2025-06-26T13:03:18.377737,-0.027343,0.012695,-0.98043
2025-06-26T13:03:18.384618,-0.030272,0.009765,-1.017538
2025-06-26T13:03:18.391491,-0.021484,0.029296,-0.997031
2025-06-26T13:03:18.398369,-0.024413,0.06738,-0.979454
2025-06-26T13:03:18.405241,-0.031249,0.04785,-1.016561
2025-06-26T13:03:18.412112,-0.023437,0.056638,-1.015585
2025-06-26T13:03:18.418984,-0.033202,0.012695,-1.010702
2025-06-26T13:03:18.425857,-0.02246,-0.009765,-0.998984
2025-06-26T13:03:18.432688,-0.032225,-0.013671,-1.012655
2025-06-26T13:03:18.439498,-0.015624,0.041991,-1.007773
2025-06-26T13:03:18.446309,0.023437,0.031249,-1.026327
